@name,enabled,#mm,subName,countries,shipTypes,model_1,scale_1,max_scale_1,weight_modifier_1,caliber_length_modifier_1,model_2,scale_2,max_scale_2,weight_modifier_2,caliber_length_modifier_2,model_3,scale_3,max_scale_3,weight_modifier_3,caliber_length_modifier_3,model_4,scale_4,max_scale_4,weight_modifier_4,caliber_length_modifier_4,model_5,scale_5,max_scale_5,weight_modifier_5,caliber_length_modifier_5,#,#,#,#,#,#,#,#,#,#
torpedo_x6_15,,15,torpedo_x6,,,torpedo_x2,0.825,0.825,,,torpedo_x2,0.845,0.845,,,moga_torpedo_x2,0.69,0.69,,,akizuki_torpedo_x2,0.69,0.69,,,spee_torpedo_x2,0.69,0.69,,,,,,,,,,,,
torpedo_x6_16,,16,torpedo_x6,,,torpedo_x2,0.86,0.86,,,torpedo_x2,0.88,0.88,,,moga_torpedo_x2,0.725,0.725,,,akizuki_torpedo_x2,0.725,0.725,,,spee_torpedo_x2,0.725,0.725,,,,,,,,,,,,
torpedo_x6_17,,17,torpedo_x6,,,torpedo_x2,0.895,0.895,,,torpedo_x2,0.915,0.915,,,moga_torpedo_x2,0.76,0.76,,,akizuki_torpedo_x2,0.76,0.76,,,spee_torpedo_x2,0.76,0.76,,,,,,,,,,,,
torpedo_x6_18,,18,torpedo_x6,,,torpedo_x2,0.93,0.93,,,torpedo_x2,0.95,0.95,,,moga_torpedo_x2,0.795,0.795,,,akizuki_torpedo_x2,0.795,0.795,,,spee_torpedo_x2,0.795,0.795,,,,,,,,,,,,
torpedo_x6_19,,19,torpedo_x6,,,torpedo_x2,0.965,0.965,,,torpedo_x2,0.985,0.985,,,moga_torpedo_x2,0.83,0.83,,,akizuki_torpedo_x2,0.83,0.83,,,spee_torpedo_x2,0.83,0.83,,,,,,,,,,,,
torpedo_x6_20,,20,torpedo_x6,,,torpedo_x2,1,1,,,torpedo_x2,1.02,1.02,,,moga_torpedo_x2,0.865,0.865,,,akizuki_torpedo_x2,0.865,0.865,,,spee_torpedo_x2,0.865,0.865,,,,,,,,,,,,
torpedo_x6_21,,21,torpedo_x6,,,torpedo_x2,1.035,1.035,,,torpedo_x2,1.055,1.055,,,moga_torpedo_x2,0.9,0.9,,,akizuki_torpedo_x2,0.9,0.9,,,spee_torpedo_x2,0.9,0.9,,,,,,,,,,,,
torpedo_x6_22,,22,torpedo_x6,,,torpedo_x2,1.07,1.07,,,torpedo_x2,1.09,1.09,,,moga_torpedo_x2,0.935,0.935,,,akizuki_torpedo_x2,0.935,0.935,,,spee_torpedo_x2,0.935,0.935,,,,,,,,,,,,
torpedo_x6_23,,23,torpedo_x6,,,torpedo_x2,1.105,1.105,,,torpedo_x2,1.125,1.125,,,moga_torpedo_x2,0.97,0.97,,,akizuki_torpedo_x2,0.97,0.97,,,spee_torpedo_x2,0.97,0.97,,,,,,,,,,,,
torpedo_x6_24,,24,torpedo_x6,,,torpedo_x2,1.14,1.14,,,torpedo_x2,1.16,1.16,,,moga_torpedo_x2,1.005,1.005,,,akizuki_torpedo_x2,1.005,1.005,,,spee_torpedo_x2,1.005,1.005,,,,,,,,,,,,
torpedo_x7_15,,15,torpedo_x7,,,torpedo_x2,0.825,0.825,,,torpedo_x2,0.845,0.845,,,moga_torpedo_x2,0.69,0.69,,,akizuki_torpedo_x2,0.69,0.69,,,spee_torpedo_x2,0.69,0.69,,,,,,,,,,,,
torpedo_x7_16,,16,torpedo_x7,,,torpedo_x2,0.86,0.86,,,torpedo_x2,0.88,0.88,,,moga_torpedo_x2,0.725,0.725,,,akizuki_torpedo_x2,0.725,0.725,,,spee_torpedo_x2,0.725,0.725,,,,,,,,,,,,
torpedo_x7_17,,17,torpedo_x7,,,torpedo_x2,0.895,0.895,,,torpedo_x2,0.915,0.915,,,moga_torpedo_x2,0.76,0.76,,,akizuki_torpedo_x2,0.76,0.76,,,spee_torpedo_x2,0.76,0.76,,,,,,,,,,,,
torpedo_x7_18,,18,torpedo_x7,,,torpedo_x2,0.93,0.93,,,torpedo_x2,0.95,0.95,,,moga_torpedo_x2,0.795,0.795,,,akizuki_torpedo_x2,0.795,0.795,,,spee_torpedo_x2,0.795,0.795,,,,,,,,,,,,
torpedo_x7_19,,19,torpedo_x7,,,torpedo_x2,0.965,0.965,,,torpedo_x2,0.985,0.985,,,moga_torpedo_x2,0.83,0.83,,,akizuki_torpedo_x2,0.83,0.83,,,spee_torpedo_x2,0.83,0.83,,,,,,,,,,,,
torpedo_x7_20,,20,torpedo_x7,,,torpedo_x2,1,1,,,torpedo_x2,1.02,1.02,,,moga_torpedo_x2,0.865,0.865,,,akizuki_torpedo_x2,0.865,0.865,,,spee_torpedo_x2,0.865,0.865,,,,,,,,,,,,
torpedo_x7_21,,21,torpedo_x7,,,torpedo_x2,1.035,1.035,,,torpedo_x2,1.055,1.055,,,moga_torpedo_x2,0.9,0.9,,,akizuki_torpedo_x2,0.9,0.9,,,spee_torpedo_x2,0.9,0.9,,,,,,,,,,,,
torpedo_x7_22,,22,torpedo_x7,,,torpedo_x2,1.07,1.07,,,torpedo_x2,1.09,1.09,,,moga_torpedo_x2,0.935,0.935,,,akizuki_torpedo_x2,0.935,0.935,,,spee_torpedo_x2,0.935,0.935,,,,,,,,,,,,
torpedo_x7_23,,23,torpedo_x7,,,torpedo_x2,1.105,1.105,,,torpedo_x2,1.125,1.125,,,moga_torpedo_x2,0.97,0.97,,,akizuki_torpedo_x2,0.97,0.97,,,spee_torpedo_x2,0.97,0.97,,,,,,,,,,,,
torpedo_x7_24,,24,torpedo_x7,,,torpedo_x2,1.14,1.14,,,torpedo_x2,1.16,1.16,,,moga_torpedo_x2,1.005,1.005,,,akizuki_torpedo_x2,1.005,1.005,,,spee_torpedo_x2,1.005,1.005,,,,,,,,,,,,
torpedo_x8_15,,15,torpedo_x8,,,torpedo_x2,0.825,0.825,,,torpedo_x2,0.845,0.845,,,moga_torpedo_x2,0.69,0.69,,,akizuki_torpedo_x2,0.69,0.69,,,spee_torpedo_x2,0.69,0.69,,,,,,,,,,,,
torpedo_x8_16,,16,torpedo_x8,,,torpedo_x2,0.86,0.86,,,torpedo_x2,0.88,0.88,,,moga_torpedo_x2,0.725,0.725,,,akizuki_torpedo_x2,0.725,0.725,,,spee_torpedo_x2,0.725,0.725,,,,,,,,,,,,
torpedo_x8_17,,17,torpedo_x8,,,torpedo_x2,0.895,0.895,,,torpedo_x2,0.915,0.915,,,moga_torpedo_x2,0.76,0.76,,,akizuki_torpedo_x2,0.76,0.76,,,spee_torpedo_x2,0.76,0.76,,,,,,,,,,,,
torpedo_x8_18,,18,torpedo_x8,,,torpedo_x2,0.93,0.93,,,torpedo_x2,0.95,0.95,,,moga_torpedo_x2,0.795,0.795,,,akizuki_torpedo_x2,0.795,0.795,,,spee_torpedo_x2,0.795,0.795,,,,,,,,,,,,
