@name,enabled,type,nameUi,order,weight,cost,costMod,crew,model,scale,group,mountPoints,countries,param,stats,caliber,#caliberInch,barrels,hullWeightRatio,sectionsMin,sectionsMax,tonnageMin,tonnageMax,maxAllowedCaliber,beamMin,beamMax,draughtMin,draughtMax,beamCoef,draughtCoef,speedLimiter,minMainTurrets,minMainBarrels,#comment,#comment2,#cost_base,#cost_base_mod
cv_1_langley,,hull,Experimental Carrier,,-1,-1,2.2,500,atlanta_hull_b_var,1.1,,,"britain, france, germany, usa, russia, italy, austria, japan, spain, china","type(cv), CA_Heavy_Gen, ca, g4","hsize(1200), hull_form(100), stability(82), floatability(70), endurance(60), spot(0), turn(19), vis(4200), beam(0), draught(0)",,,,0.14,3,4,9000,14000,,,,,,0.7,0.6,8,2,2,,11,,
cv_2_yorktown,,hull,Fleet Carrier,,-1,-1,2.4,1500,atlanta_hull_b_var,1.35,,,"britain, france, germany, usa, russia, italy, austria, japan, spain, china","type(cv), CA_Heavy_Gen, ca, g4","hsize(1800), hull_form(108), stability(85), floatability(75), endurance(70), spot(0), turn(15), vis(4600), beam(0), draught(0)",,,,0.15,4,5,14000,20000,,,,,,0.72,0.62,10,2,2,,11,,
cv_3_essex,,hull,Heavy Fleet Carrier,,-1,-1,2.6,2500,atlanta_hull_b_var,1.55,,,"britain, france, germany, usa, russia, italy, austria, japan, spain, china","type(cv), CA_Heavy_Gen, ca, g4","hsize(2400), hull_form(112), stability(80), floatability(78), endurance(80), spot(0), turn(11), vis(5000), beam(0), draught(0)",,,,0.16,5,6,14000,36000,,,,,,0.75,0.65,12,2,2,,11,,
cv_1_langley_ca,,hull,Experimental Carrier,,-1,-1,2.2,500,atlanta_hull_b_var,1.1,,,"britain, france, germany, usa, russia, italy, austria, japan, spain, china","type(ca), CA_Heavy_Gen, ca, g4","hsize(1200), hull_form(100), stability(82), floatability(70), endurance(60), spot(0), turn(19), vis(4200), beam(0), draught(0)",,,,0.14,3,4,9000,14000,,,,,,0.7,0.6,8,2,2,,11,,
cv_2_yorktown_ca,,hull,Fleet Carrier,,-1,-1,2.4,1500,atlanta_hull_b_var,1.35,,,"britain, france, germany, usa, russia, italy, austria, japan, spain, china","type(ca), CA_Heavy_Gen, ca, g4","hsize(1800), hull_form(108), stability(85), floatability(75), endurance(70), spot(0), turn(15), vis(4600), beam(0), draught(0)",,,,0.15,4,5,14000,20000,,,,,,0.72,0.62,10,2,2,,11,,
cv_3_essex_ca,,hull,Heavy Fleet Carrier,,-1,-1,2.6,2500,atlanta_hull_b_var,1.55,,,"britain, france, germany, usa, russia, italy, austria, japan, spain, china","type(ca), CA_Heavy_Gen, ca, g4","hsize(2400), hull_form(112), stability(80), floatability(78), endurance(80), spot(0), turn(11), vis(5000), beam(0), draught(0)",,,,0.16,5,6,14000,36000,,,,,,0.75,0.65,12,2,2,,11,,
torpedo_x6,,torpedo,Mk 1 Air Wing Torpedo Tubes,,-1,-1,,10,(custom),1,,"deck_torpedo, free",,1_torp,"torpedo(1), size(2.5)",,,1,,,,,,,,,,,,,,,,,,-1,
torpedo_x7,,torpedo,Mk 2 Air Wing Torpedo Tubes,,-1,-1,,15,(custom),1,,"deck_torpedo, free",,2_torp,"torpedo(1), size(3.0)",,,2,,,,,,,,,,,,,,,,,,-1,
torpedo_x8,,torpedo,Mk 3 Air Wing Torpedo Tubes,,-1,-1,,20,(custom),1,,"deck_torpedo, free",,3_torp,"torpedo(1), size(3.5)",,,3,,,,,,,,,,,,,,,,,,-1
plane_strike_1,,hull,Strike Plane,,-1,-1,0.5,10,jap_tb_hull,0.45,,,"usa, britain, france, spain, japan, germany, russia, italy, austria, china","type(plane), TB, tb, g1, var(bow_a)","hsize(230), hull_form(80), stability(25), floatability(20), endurance(10), spot(0), turn(80), vis(9000), beam(0), draught(0)",,,,0.33,0,2,200,500,,,,,,,,28.5,2,2,0.33,28,-1,
